n = 8  tau_r =  1  (158 s, 24 pairs x 300 instances)
n = 8  tau_r =  2  (198 s, 24 pairs x 300 instances)
n = 8  tau_r =  4  (202 s, 24 pairs x 300 instances)
n = 8  tau_r =  8  (215 s, 24 pairs x 300 instances)
n = 8  tau_r = 16  (228 s, 24 pairs x 300 instances)
n = 10  tau_r =  1  (365 s, 24 pairs x 300 instances)
n = 10  tau_r =  2  (344 s, 24 pairs x 300 instances)
n = 10  tau_r =  4  (348 s, 24 pairs x 300 instances)
n = 10  tau_r = 10  (362 s, 24 pairs x 300 instances)
n = 10  tau_r = 20  (384 s, 24 pairs x 300 instances)

  n  tau base    kind     t       F     Corr     deep   excess     se
 10    2    1  global  0.12  0.3937  +0.4088  +0.3931  +0.0157  0.048
 10    2    1  global  0.25  0.0230  +0.0383  +0.0221  +0.0162  0.058
 10    2    1  global  0.50  0.0002  -0.0630  -0.0008  -0.0622  0.058
 10    2    1    gate  0.05  0.9952  +0.9979  +0.9952  +0.0027  0.000
 10    2    1    gate  0.12  0.9731  +0.9887  +0.9731  +0.0156  0.001
 10    2    1    gate  0.25  0.8944  +0.9591  +0.8943  +0.0648  0.005
 10    2    1    gate  0.50  0.6792  +0.8885  +0.6789  +0.2096  0.012
 10    2    1   layer  0.05  0.9561  +0.9842  +0.9561  +0.0281  0.002
 10    2    1   layer  0.12  0.7746  +0.9280  +0.7743  +0.1536  0.008
 10    2    1   layer  0.25  0.3353  +0.7195  +0.3347  +0.3848  0.028
 10    2    1   layer  0.50  0.0120  +0.1822  +0.0110  +0.1712  0.056
 10    4    0  global  0.05  0.8370  +0.8779  +0.8369  +0.0410  0.013
 10    4    0  global  0.12  0.3595  +0.4555  +0.3588  +0.0967  0.046
 10    4    0  global  0.25  0.0112  +0.0460  +0.0102  +0.0357  0.058
 10    4    0  global  0.50  0.0026  +0.0609  +0.0016  +0.0593  0.058
 10    4    0    gate  0.05  0.9967  +0.9970  +0.9967  +0.0004  0.000
 10    4    0    gate  0.12  0.9814  +0.9838  +0.9813  +0.0025  0.002
 10    4    0    gate  0.25  0.9220  +0.9370  +0.9219  +0.0150  0.007
 10    4    0    gate  0.50  0.6944  +0.7842  +0.6941  +0.0901  0.022
 10    4    0   layer  0.05  0.9537  +0.9532  +0.9536  -0.0005  0.005
 10    4    0   layer  0.12  0.7627  +0.7610  +0.7624  -0.0014  0.024
 10    4    0   layer  0.25  0.3209  +0.3144  +0.3202  -0.0058  0.052
 10    4    0   layer  0.50  0.0185  +0.0171  +0.0175  -0.0004  0.058
 10    4    1  global  0.05  0.8374  +0.9113  +0.8372  +0.0741  0.010
 10    4    1  global  0.12  0.3615  +0.5571  +0.3608  +0.1963  0.040
 10    4    1  global  0.25  0.0180  -0.0242  +0.0170  -0.0412  0.058
 10    4    1  global  0.50  0.0006  -0.0348  -0.0004  -0.0344  0.058
 10    4    1    gate  0.05  0.9862  +0.9873  +0.9862  +0.0011  0.001
 10    4    1    gate  0.12  0.9207  +0.9221  +0.9206  +0.0015  0.009
 10    4    1    gate  0.25  0.6817  +0.6778  +0.6814  -0.0035  0.031
 10    4    1    gate  0.50  0.1496  +0.2562  +0.1488  +0.1075  0.054
